x,y,Slope12,DEM12,rainfall_intensity,Aspect_nakhon,raster_ndvi,distance_road,distance_drainage,distance_fault,Curvature_nakhon,NDWI_combine,nakhon_geology,S/N
583420.3125,1021513,2.290610075,5,1296.940308,83.6598053,0.304009855,1085.88501,3257.655029,3399.357666,-0.211803362,-0.284411401,29,-1
590355.875,1021393.438,5.111089706,-15,1298.904785,303.6900635,0.329387367,971.2450562,485.6225281,1085.88501,0.105901681,-0.30105707,109,-1
589907.4375,1021243.938,3.337110758,-9,1311.384155,68.19859314,0.398757458,1456.867554,0,1535.673218,0.211803362,-0.369175345,109,-1
589339.4375,1021243.938,3.237688065,-12,1310.86792,18.43494797,0.317882806,1942.490112,485.6225281,2002.272949,0.105901681,-0.291275412,109,-1
588831.25,1021273.875,2.560638905,-21,1310.254272,180,0.236383274,2428.112549,971.2450562,2476.19873,-0.105901681,-0.250809759,109,-1
590654.8125,1020915.125,0.810230672,-12,1298.748657,135,0.412113518,686.7739868,485.6225281,485.6225281,-0.423606724,-0.364769101,109,-1
589787.875,1020646.063,0.810230672,-9,1310.40625,45,0.39875105,1535.673218,0,1456.867554,0,-0.353231013,109,-1
589040.5,1020646.063,2.560638905,-20,1309.890015,281.3099365,0.19939436,2002.272949,485.6225281,1942.490112,0,-0.204932004,109,-1
590953.8125,1019928.625,2.290610075,-8,1298.120728,90,0.368026614,485.6225281,0,971.2450562,0,-0.346033543,109,-1
590505.375,1020347.125,0.810230672,-11,1298.373657,225,0.371601462,971.2450562,485.6225281,686.7739868,0.211803362,-0.342392415,109,-1
589459.0625,1020137.875,3.337110758,-11,1309.4646,321.3401794,0.382760763,1750.93689,485.6225281,1535.673218,-0.105901681,-0.356036156,109,-1
582971.875,1021243.938,2.918994904,6,1295.210449,30.96375656,0.333037168,1535.673218,3501.873779,3399.357666,-0.423606724,-0.326471359,29,-1
582822.4375,1020675.938,2.429397106,14,1293.59375,135,0.2713947,1750.93689,3109.501465,2913.735107,-0.211803362,-0.323528349,29,-1
583390.4375,1020675.938,4.044691086,5,1295.409424,60.94539642,0.274810284,1373.547974,2831.641602,2913.735107,-0.211803362,-0.28678304,29,-1
584257.375,1021214.063,10.77250862,-1,1300.1875,98.97262573,0.367610395,485.6225281,2953.926514,3535.385254,0,-0.346281588,29,-1
584974.8125,1021154.25,3.337110758,1,1301.691406,255.9637604,0.309576184,0,2913.735107,3698.390869,-0.317705035,-0.308454365,29,-1
585512.9375,1020586.313,6.302976608,4,1301.872559,36.86989594,0.334266782,0,2428.112549,3501.873779,0.529508412,-0.330078959,29,-1
584675.875,1020377,5.111089706,9,1299.126831,144.462326,0.261044174,485.6225281,1942.490112,2831.641602,-0.105901681,-0.282400995,29,-1
584496.5,1020885.25,,,1298.815918,164.0546112,0.31708017,686.7739868,2476.19873,3071.346436,-0.423606724,-0.331979334,29,-1
583779.0625,1020466.688,6.88967514,5,1295.731201,24.44395447,0.353846163,1373.547974,2171.77002,2476.19873,-0.423606724,-0.309768766,29,-1
584227.5,1019898.688,3.337110758,14,1296.166626,239.0362396,0.301877111,1085.88501,1535.673218,2171.77002,0.105901681,-0.302115798,29,-1
586529.375,1019928.625,3.618883133,2,1303.672607,213.6900635,0.366709173,485.6225281,1535.673218,3915.214111,0.105901681,-0.333433837,81,-1
587007.6875,1019928.625,3.337110758,5,1303.672607,198.4349518,0.401296824,485.6225281,1535.673218,3915.214111,0.529508412,-0.368513644,29,-1
