x,y,Slope12,DEM12,rainfall_intensity,Aspect_nakhon,raster_ndvi,distance_road,distance_drainage,distance_fault,Curvature_nakhon,NDWI_combine,nakhon_geology,S/N
566408,959954,19.28280067,717,1538,74.21924591,0.437480032,6331.743164,485.6225281,485.6225281,-0.847213447,-0.405667901,32,1
568771,959992,27.06170082,554,1573.209961,79.82448578,0.430270195,4370.602539,1373.547974,485.6225281,0,-0.39954558,32,1
562673,959985,36.41109848,619,1518.550049,193.5948334,0.414621115,7678.366211,0,485.6225281,0.529508412,-0.376420766,32,1
562388,960079,34.35340118,666,1518.550049,106.0845795,0.467500001,7678.366211,0,485.6225281,0.63541007,-0.422123045,32,1
566612,960069,23.30699921,617,1540.25,65.18580627,0.403545678,6084.833008,0,0,-0.423606724,-0.37160477,32,1
568759,960097,33.61719894,553,1573.209961,79.50852203,0.463756353,4370.602539,1373.547974,485.6225281,-0.953115165,-0.429811507,32,1
566964,959991,26.62000084,500,1540.25,64.2592926,0.459624618,6084.833008,0,0,-0.847213447,-0.426714808,32,1
562162,960017,29.06080055,751,1515.859985,118.3690491,0.37525782,7964.801758,0,686.7739868,1.482623577,-0.345706373,32,1
563124,960114,34.26169968,668,1521.170044,192.3624878,0.425074011,7412.706055,485.6225281,0,-0.105901681,-0.380557597,32,1
569451,960153,22.05859947,420,1574.189941,106.5873413,0.466355383,3884.980225,971.2450562,971.2450562,0,-0.427904069,32,1
566628,960161,33.96609879,600,1540.25,84.24543762,0.457381666,6084.833008,0,0,-0.847213447,-0.425545305,32,1
566313,960132,29.28770065,755,1538,101.5048141,0.444630176,6331.743164,485.6225281,485.6225281,0.423606724,-0.41424334,32,1
564098,960210,22.04640007,633,1526.23999,139.5377655,0.428370565,6953.056641,485.6225281,485.6225281,-0.953115165,-0.398717433,32,1
568995,960087,20.84630013,426,1573.209961,82.07307434,0.471027553,4370.602539,1373.547974,485.6225281,0.423606724,-0.437840223,32,1
562324,960204,13.05869961,673,1518.550049,60.70863724,0.420835018,7678.366211,0,485.6225281,0,-0.382834762,32,1
562425,960189,18.20800018,645,1518.550049,45,0.361236662,7678.366211,0,485.6225281,-0.105901681,-0.33457458,32,1
566534,960267,28.1291008,662,1538,87.18444061,0.434473455,6331.743164,485.6225281,485.6225281,0.423606724,-0.413881063,32,1
560203,960104,29.49620056,678,1497.920044,145.8855286,0.470570534,8914.844727,0,1750.93689,-0.423606724,-0.437761426,32,1
567636,960281,27.75819969,612,1571.76001,198.7257843,0.425953865,5341.847656,485.6225281,0,0,-0.392778188,32,1
567946,960177,27.06170082,627,1571.76001,90.62960052,0.449215293,5341.847656,485.6225281,0,0.317705035,-0.412742555,32,1
566293,960255,31.49580002,744,1538,51.18861771,0.443470955,6331.743164,485.6225281,485.6225281,-0.211803362,-0.38466537,32,1
564088,960296,23.77129936,668,1526.23999,143.3658905,0.469474524,6953.056641,485.6225281,485.6225281,-0.847213447,-0.435040534,32,1
566638,960343,25.0984993,625,1540.25,88.40885925,0.461687863,6084.833008,0,0,1.164918542,-0.427039385,32,1
563900,960214,29.38839912,723,1526.23999,106.9908218,0.449470699,6953.056641,485.6225281,485.6225281,0.741311789,-0.418880165,32,1
566241,960350,23.03549957,745,1538,56.16487885,0.436758399,6331.743164,485.6225281,485.6225281,0.423606724,-0.405933738,32,1
566834,960350,25.68939972,517,1540.25,82.64762115,0.451803058,6084.833008,0,0,0.317705035,-0.410101146,32,1
562713,960316,23.7166996,773,1518.550049,172.0198822,0.444036096,7678.366211,0,485.6225281,1.059016824,-0.412360042,32,1
562007,960354,22.72430038,840,1515.119995,129.5962067,0.337204635,8354.96582,0,485.6225281,0.529508412,-0.319867194,32,1
568895,960424,24.70240021,567,1572.300049,95.80672455,0.439730346,4370.602539,1535.673218,686.7739868,-0.105901681,-0.383929968,32,1
569374,960390,30.93560028,513,1573.26001,154.2900391,0.455334485,3884.980225,1085.88501,1085.88501,0.63541007,-0.422520965,32,1
562181,960397,34.63100052,780,1515.119995,97.93554688,0.413400471,8354.96582,0,485.6225281,0,-0.388456345,32,1
564294,960404,30.17280006,739,1527.75,166.4295654,0.437197447,7219.297852,1085.88501,971.2450562,-1.164918542,-0.403283983,32,1
562792,960468,14.73830032,824,1520.339966,121.2930374,0.421341807,7830.428223,686.7739868,0,1.059016824,-0.390064687,32,1
567111,960519,25.65069962,457,1541.469971,225,0.421892434,5429.424805,485.6225281,485.6225281,-0.741311789,-0.392647982,32,1
566559,960582,30.57299995,596,1536.98999,82.52844238,0.428428471,5927.77832,485.6225281,485.6225281,0.847213447,-0.396484852,32,1
564675,960537,23.84740067,813,1530.119995,142.3264008,0.4266496,6867.739746,1373.547974,1085.88501,-0.211803362,-0.393984854,32,1
568471,960391,21.41379929,664,1571.5,110.9657135,0.430882245,4856.225098,1085.88501,485.6225281,-0.423606724,-0.398964077,32,1
562059,960615,26.14719963,833,1515.119995,94.9937439,0.348172188,8354.96582,0,485.6225281,0.317705035,-0.334777564,32,1
564070,960624,36.87229919,816,1525.329956,143.2023468,0.473902702,7396.781738,971.2450562,686.7739868,-0.529508412,-0.4148781,32,1
569491,960633,25.05830002,556,1573.26001,135.8069305,0.445083946,3884.980225,1085.88501,1085.88501,0.105901681,-0.411335647,32,1
580102,959883,14.61540031,361,1590.209961,63.83843231,0.389612883,4477.218262,1373.547974,5429.424805,-0.741311789,-0.361968279,32,1
580001,959908,21.36310005,397,1590.209961,129.1226044,0.416602403,4477.218262,1373.547974,5429.424805,-0.423606724,-0.372227818,32,1
579752,960341,24.72299957,468,1590.209961,50.33923721,0.377195418,4477.218262,1373.547974,5429.424805,-3.918362379,-0.351328313,32,1
579880,960425,25.37689972,434,1587.540039,118.1416016,0.412240386,4004.545898,971.2450562,4952.397461,-0.741311789,-0.382866293,32,1
579790,960421,31.89209938,478,1587.540039,125.8376541,0.403599352,4004.545898,971.2450562,4952.397461,-0.423606724,-0.378027827,32,1
